Courier Australia,473.15,Philips Tvw7 Studio Site DIANELLA
Courier Australia,473.4,Philips Groupsite 20 Hines Road OCONNER
Courier Australia,474.025,473.7500 Swan Taxis Building 1008 Wellington Street WEST PERTH
Courier Australia,474.025,Murray Shire Site Pinjarra East
Courier Australia,470.525,QV1 250 St Georges Terrace PERTH
Courier Australia,470.95,QV1 250 St Georges Terrace PERTH
Courier Australia,471.025,15 Avery St NEERABUP
Courier Australia,470.7,15 Avery St NEERABUP
Courier Australia,470.775,Blue Bay Apartments 5 Valley Road HALLS HEAD
Courier Australia,472.225,Blue Bay Apartments 5 Valley Road HALLS HEAD
Community Repeater Sites,470.625,Sratacom Site Northwest Tower Laurence Road WALLISTON
Bankwest,487.275,St Martins Tower 44 St Georges Terrace PERTH
GardenCity Shopping Centre,463.35,Admin Building Booragoon Shopping Complex Marmion Street BOORAGOON
City of Melville,462.975,Commercial Mast Wireless Hill Park ARDROSS
City of Melville,463.65,Commercial Mast Wireless Hill Park ARDROSS
City of Melville,464.0,Commercial Mast Wireless Hill Park ARDROSS
Perth Zoo,469.65,Zoo Grounds
Perth Zoo,465.1,Zoo Admin Buldg 20 Labouchere Rd SOUTH PERTH
Beaurepairs,487.75,Philips Groupsite Windsor Towers 9 Parker Street SOUTH PERTH
Freeway Motel,450.375,Freeway Motel 55 Mill Point Rd SOUTH PERTH
C.A.L.M.,78.25,Doss Site Canning Mills Road Canning Mills.
C.A.L.M.,78.175,(Hill T) Charles Searson Lookout NOWERGUP
C.A.L.M.,78.275,MT Solus Jarrahdale WA
Burswood Resort Casino,494.95,Burswood Resort VICTORIA PARK
Park Shopping Centre,450.05,Park Shopping Centre Albany Hwy East VICTORIA PARK
Alinta Gas,164.375,SECWA Site R44 Douglas Road MARTIN
Alinta Gas,451.7,FORRESTDALE
Alinta Gas,172.29,WA Wide
Ministry of Justice,486.85,WA Wide
Ministry of Justice,73.37,Law Courts Cnr Irwin & Hay Streets PERTH
Juvenile Justice Division,466.3,Murdoch Drive MURDOCH
West Australian Newspapers,464.625,54 Hasler Drive OSBORNE PARK
West Australian Newspapers,466.675,54 Hasler Drive OSBORNE PARK
WA Fire Brigade,78.05,Cnr Congdon St & Stirling CLAREMONT
WA Fire Brigade,78.0625,Moorgup Hill GINGIN
WA Fire Brigade,78.075,Doss Site Canning Mills Road Canning Mills
WA Wide,78.0875,St John of God Hospital Blair Street BUNBURY
WA Wide,78.1,Doss Site Canning Mills Road Canning Mills
WA Wide,78.125,Lot230 Toodyay Rd REDHILL
WA Wide,78.1375,SECWA Site WOOROLOO
WA Wide,519.625,WA Wide
WA Wide,519.9,WA Wide
WA Wide,119.1,WA Wide Aeronautical
Port Printing,168.3375,7 Keegan Street OCONNOR
City of Fremantle,494.6,Philips Groupsite 20 Hines Road OCONNER
City of Fremantle,493.4,Car Park Henderson St FREMANTLE
Fremantle Port Authority,469.9,Port Authority Building 1 Cliff Street FREMANTLE
Fremantle Port Authority,471.3,Port Authority Building 1 Cliff Street FREMANTLE
Fremantle Port Authority,474.5,Port Authority Building 1 Cliff Street FREMANTLE
Fremantle Port Authority,461.0188,Port Authority Building 1 Cliff Street FREMANTLE
Fremantle Port Authority,469.7,Wharf FREMANTLE
Fremantle Port Authority,169.0625,North Quay NORTH FREMANTLE
Fremantle Port Authority,168.3875,WA wide
Fremantle Terminals Ltd,467.35,Tydeman Road NORTH FREMANTLE
Fremantle Terminals Ltd,469.825,Tydeman Road NORTH FREMANTLE
Fremantle Terminals Ltd,467.675,Tydeman Road NORTH FREMANTLE
Fremantle Terminals Ltd,469.6,Tydeman Road NORTH FREMANTLE
Fremantle Terminals Ltd,467.075,No 11 Berth FREMANTLE
Fremantle Terminals Ltd,469.625,Conaust Harbour Workshop NORTH FREMANTLE
P & O Ports,469.95,Wharf FREMANTLE
P & O Ports,469.975,Wharf FREMANTLE
P & O Ports,469.5,Wharf FREMANTLE
P & O Ports,464.6,39 Wood St FREMANTLE
P & O Ports,450.275,Fremantle Harbour Berth 4 5 11 and 12 North FREMANTLE
P & O Ports,450.35,Fremantle Harbour Berth 4 5 11 and 12 North FREMANTLE
P & O Ports,450.4,46 Tydeman Road North Fremantle
P & O Ports,469.875,Berth 4 and Berth 5 Port Beach Road NORTH FREMANTLE
P & O Ports,450.125,Fremantle Harbour Berths 4 5 and 6 NORTH FREMANTLE
Covich JF and Co,75.4875,125 Rockingham Rd HAMILTON HILL
Watsons Foods WA,450.175,Watsons Food Factory Area Hamilton Road SPEARWOOD
Watsons Foods WA,471.375,174 Hamilton Rd Master Stn SPEARWOOD
City of Cockburn,79.575,Wellard St BIBRA LAKE
City of Cockburn,464.675,Wellard St BIBRA LAKE
Cockburn Electrical Company,168.3375,30 Port Kembla Drive SPEARWOOD
Westrail,168.79,Comms Tower Railyard West
Westrail,169.09,Railway Station KEWDALE
Westrail,168.43,Wagr Operations Centre Mast Rail Yards KEWDALE
Westrail,168.64,Wagr Operations Centre Mast Rail Yards KEWDALE
Westrail,411.325,Freight Terminal KEWDALE
Westrail,410.675,Wagr Foreman Checkers Office Intermodal Terminal KEWDALE
Westrail,410.925,Wagr Foreman Checkers Office Intermodal Terminal KEWDALE
Westrail,419.075,Wagr on Video Tower SE Part of Freight Terminal KEWDALE
Westrail,419.375,Wagr Operations Centre Mast Rail Yards KEWDALE
Westrail,169.27,Railway Station Robbs Jetty HAMILTON HILL
Westrail,169.15,Railyard KWINANA
Westrail,169.18,Wagr Yard Masters Tower Operations Centre FORRESTFIELD
Westrail,169.27,Wagr Yard Masters Tower Operations Centre FORRESTFIELD
Westrail,418.575,Wagr Yard Masters Tower Operations Centre FORRESTFIELD
Westrail,168.67,Wagr Radio Centre FORRESTFIELD
Westrail,463.75,Wagr Hump Control Tower Marshalling Yards FORRESTFIELD
Westrail,463.55,Wagr Hump Control Tower Marshalling Yards FORRESTFIELD
Westrail,463.5,Wagr Hump Control Tower Marshalling Yards FORRESTFIELD
Westrail,463.475,Wagr Hump Control Tower Marshalling Yards FORRESTFIELD
Westrail,168.43,Wagr Hump Control Tower Marshalling Yards FORRESTFIELD
Westrail,168.7,Wagr Hump Control Tower Marshalling Yards FORRESTFIELD
Westrail,169.24,Westrail Site MARTIN
Westrail,450.625,Westrail Site MARTIN
Westrail,418.7,Westrail Site MARTIN
Westrail,419.55,Westrail Site MARTIN
Westrail,168.52,Westrail Site MARTIN
Westrail,166.425,Westrail Site MARTIN
Westrail,166.65,Westrail Site MARTIN
Westrail,419.5,Railway Station SUBIACO
Westrail,419.5,Railway Station Sevenoaks St CANNINGTON
Westrail,168.79,Cbh Loader Cbh Grain Terminal Rockingham Rd KWINANA
Westrail,168.58,Wagr Hump Control Tower Marshalling Yards FORRESTFIELD
Westrail,168.64,Yard Station KWINANA
Westrail,168.52,West Australian Government Railways Ch22 Site MILLENDON
Westrail,168.55,Alcoa Bauxite Loader KWINANA
Westrail,168.64,Wagr Operations Centre Mast Rail Yards KEWDALE
Westrail,419.375,Wagr Operations Centre Mast Rail Yards KEWDALE
Westrail,463.425,Rail Terminal MIDLAND
Westrail,418.2,Rail Terminal MIDLAND
Westrail,419.95,Rail Terminal MIDLAND
Westrail,168.6,Signal Cabin KWINANA
Westrail,172.98,Westrail Interstate Terminal EAST PERTH
Westrail,418.175,Westrail Interstate Terminal EAST PERTH
Westrail,418.725,Westrail Interstate Terminal EAST PERTH
Westrail,166.525,Westrail Interstate Terminal EAST PERTH
Westrail,419.75,Westrail Interstate Terminal EAST PERTH
Westrail,410.625,WA wide
Westrail,418.1,Railway Station Leighton NORTH FREMANTLE
Westrail,166.6,Railway Station Leighton NORTH FREMANTLE
Westrail,419.95,Railway Station Leighton NORTH FREMANTLE
Westrail,169.21,Mason Rd KWINANA
Westrail,412.025,Mason Rd KWINANA
Westrail,418.15,City Station Wellington Street PERTH
Westrail,418.75,City Station Wellington Street PERTH
Westrail,418.325,City Station Wellington Street PERTH
Westrail,418.125,Showgrounds Railway Station CLAREMONT
Westrail,419.475,Showgrounds Railway Station CLAREMONT
Westrail,418.25,Railway Station Commerce Ave ARMADALE
Westrail,418.25,Water Tower Cnr Ewen St and Princess Rd DOUBLEVIEW
Westrail,418.6,Water Tower Cnr Ewen St and Princess Rd DOUBLEVIEW
Westrail,418.3,Joondalup Water Tower Water Tower Park Moondara Way JOONDALUP
Westrail,418.775,Joondalup Water Tower Water Tower Park Moondara Way JOONDALUP
Westrail,166.55,Joondalup Water Tower Water Tower Park Moondara Way JOONDALUP
Westrail,418.275,Railway Station GLENDALOUGH
Westrail,418.275,Railway Station WHITFORDS
Westrail,418.425,Bridge Warwick Rd and Mitchell Fwy WARWICK
Westrail,418.325,Roe St Tunnel NORTHBRIDGE
Westrail,418.775,Roe St Tunnel NORTHBRIDGE
Westrail,168.64,Yard Station KWINANA
Westrail,418.5,Yard Station KWINANA
Westrail,418.85,Yard Station KWINANA
Westrail,418.925,Yard Station KWINANA
Westrail,169.18,Wagr Yard Masters Tower Operations Centre FORRESTFIELD
Westrail,169.27,Wagr Yard Masters Tower Operations Centre FORRESTFIELD
Westrail,418.4,Wagr Yard Masters Tower Operations Centre FORRESTFIELD
Westrail,418.475,Wagr Yard Masters Tower Operations Centre FORRESTFIELD
Westrail,418.575,Wagr Yard Masters Tower Operations Centre FORRESTFIELD
Westrail,418.875,Wagr Yard Masters Tower Operations Centre FORRESTFIELD
Westrail,418.625,Railway Station WARWICK
Westrail,419.25,Marshalling Yards FORRESTFIELD
Westrail,419.75,Railway Station JOONDALUP
Westrail,418.2,Rail Terminal MIDLAND
Westrail,463.425,Rail Terminal MIDLAND
Westrail,419.95,Rail Terminal MIDLAND
Westrail,419.85,Overpass Tonkin Hwy BAYSWATER
Westrail,169.0,WA Wide
Westrail,166.6,West Australian Government Railways Ch22 Site MILLENDON
Westrail,166.675,West Australian Government Railways Site MILLENDON
Westrail,168.52,West Australian Government Railways Site MILLENDON
Westrail,460.875,West Australian Government Railways Site MILLENDON
Westrail,460.475,West Australian Government Railways Site MILLENDON
Westrail,405.0,West Australian Government Railways Site MILLENDON
Westrail,411.625,WA Wide
Westrail,471.55,Tasker Road KWINANA
Westrail,160.03,Coal Unloading Siding KWINANA
Westrail,168.64,Cbh Loader Cbh Grain Terminal Rockingham Rd KWINANA
Westrail,166.45,Westrail Site South Western Highway (Just North of Pinjarra) PINJARRA
Westrail,172.86,Moondyne Hill BULLSBROOK
Westrail,412.25,Alcoa Bauxite Loader KWINANA
Westrail,411.9,Alcoa Alumina Unloading KWINANA
Westrail,411.625,Cbh Loader Cbh Grain Terminal Rockingham Rd KWINANA
Westrail,412.0,Blue Metal unloading area Westrail Freight Terminal KEWDALE
Westrail,412.25,Westrail Site JARRAHDALE
Westrail,412.45,WAGR Site Alcoa Alumina Refinery PINJARRA
National Rail Corporation Ltd,418.55,Wagr Foreman Checkers Office Intermodal Terminal KEWDALE
National Rail Corporation Ltd,418.35,Wagr Foreman Checkers Office Intermodal Terminal KEWDALE
National Rail Corporation Ltd,418.65,Wagr Foreman Checkers Office Intermodal Terminal KEWDALE
National Rail Corporation Ltd,418.95,Wagr Foreman Checkers Office Intermodal Terminal KEWDALE
96FM,462.125,STW9 Mast Lawnbrook Road WALLISTON
96FM,173.25,STW9 Mast Lawnbrook Road WALLISTON
Channel 9 TV,487.65,Bank West Tower 108 St Georges Terrace PERTH
Channel 9 TV,487.35,Bank West Tower 108 St Georges Terrace PERTH
Channel 9 TV,486.45,Bank West Tower 108 St Georges Terrace PERTH
Channel 9 TV,486.375,WA wide
Channel 9 TV,485.425,WA wide
Channel 9 TV,487.5,WA wide
Channel 9 TV,485.05,WA wide
Channel 9 TV,168.9375,Channel 9 TV Studios Hayes Avenue DIANELLA
Channel 7 TV,419.075,WA wide
Channel 7 TV,471.925,WA wide
Channel 7 TV,484.875,WA wide
Channel 7 TV,494.8,WA wide
Channel 7 TV,494.9,WA wide
Channel 7 TV,494.85,WA wide
Channel 7 TV,463.875,WA wide
Channel 7 TV,474.875,WA wide
Channel 7 TV,463.2,WA wide
Channel 7 TV,177.5,Tvw7 Mast Television Road BICKLEY
Channel 7 TV,161.2625,Philips Tvw7 Studio Site DIANELLA
Channel 7 TV,163.4,Philips Tvw7 Studio Site DIANELLA
Channel 7 TV,463.2,Philips Tvw7 Studio Site DIANELLA
Channel 7 TV,94.5,fm
Channel 7 TV,494.5,FM Site Tvw7 Lease Television Road BICKLEY pmfm
Channel 7 TV,492.425,FM Site Tvw7 Lease Television Road BICKLEY
Channel 7 TV,928.4625,FM Site Tvw7 Lease Television Road BICKLEY channel 10
Channel 7 TV,460.15,FM Site Tvw7 Lease Television Road BICKLEY
Channel 7 TV,473.95,Channel 10 TV Transmitter Site Welshpool Road CARMEL
Channel 7 TV,473.05,New10 Cottonwood Cres DIANELLA
Channel 7 TV,473.35,New10 Cottonwood Cres DIANELLA
Channel 7 TV,473.65,New10 Cottonwood Cres DIANELLA
Channel 7 TV,473.35,WA wide
Channel 7 TV,473.95,WA wide
Channel 7 TV,474.85,216 St Georges Terrace and Portable PERTH
Australian Protective Service,485.525,Bank West Tower 108 St Georges Terrace PERTH
Australian Protective Service,486.15,300 Horriemiller Dr Intntl Airport PERTH
SES,459.1,WASES Compound Raymond Road WALLISTON
SES,466.925,WASES Compound Raymond Road WALLISTON
SES,123.1,91 Leake Street BELMONT - Aeronautical mobile
SES,131.6,91 Leake Street BELMONT - Aeronautical mobile
SES,467.225,(Hill T) Charles Searson Lookout NOWERGUP
SES,467.475,Westrail Site MARTIN
SES,467.475,Padbury Road GREENMOUNT
SES,468.625,Padbury Road GREENMOUNT
SES,467.475,Lot230 Toodyay Rd REDHILL
SES,467.725,SECWA Site R107 off Scrivener Road SERPENTINE
Boat Torque,464.75,16 Ford Road LESMURDIE
Boat Torque,475.05,Barrack St Jetty PERTH
Coates Hire,419.15,Lot 134 Godfrey Street WALLISTON
Coates Hire,418.825,Lot 134 Godfrey Street WALLISTON
Cockburn hire,493.25,13 Godfrey Street WALLISTON
Pace Couriers,508.9,QV1 250 St Georges Terrace PERTH
Daynite towing,163.05,QV1 250 St Georges Terrace PERTH
Coca Cola,466.225,QV1 250 St Georges Terrace PERTH
Coca Cola,474.525,Walliston Transfer Station Lawnbrook Road BICKLEY
Buswest,487.575,QV1 250 St Georges Terrace PERTH
Dept of Transport,462.5,Capita Building 197 St Georges Terrace PERTH - a lot of data goes over on this! I think it may be MDT.
Dept of Transport,154.625,Water Auth Reservoir Boundary Road MOSMAN PARK
Fisheries Department of WA,164.7125,Turner Hill PINJARRA
Fisheries Department of WA,164.75,Doss Site Canning Mills Road Canning Mills.
Fisheries Department of WA,164.725,Observation City West Coast Highway SCARBOROUGH
Myer Stores security,469.725,Newman St FREMANTLE
Myer Stores security,469.7,Newman St FREMANTLE
St John Ambulance,463.275,Channel 10 TV Transmitter Site Welshpool Road CARMEL
St John Ambulance,412.475,Channel 10 TV Transmitter Site Welshpool Road CARMEL
St John Ambulance,412.65,Channel 10 TV Transmitter Site Welshpool Road CARMEL
St John Ambulance,412.75,Channel 10 TV Transmitter Site Welshpool Road CARMEL
St John Ambulance,463.275,Admiral Road Byford WA
St John Ambulance,413.075,Admiral Road Byford WA
St John Ambulance,413.3,Admiral Road Byford WA
St John Ambulance,412.75,Admiral Road Byford WA
St John Ambulance,78.6625,Admiral Road Byford WA
St John Ambulance,414.15,Admiral Road Byford WA
St John Ambulance,451.25,Admiral Road Byford WA
St John Ambulance,463.275,Telstra Exchange Simpson Avenue ROCKINGHAM
St John Ambulance,413.025,Telstra Exchange Simpson Avenue ROCKINGHAM
St John Ambulance,412.75,Telstra Exchange Simpson Avenue ROCKINGHAM
St John Ambulance,463.275,Dumas House 2 Havelock Street WEST PERTH
St John Ambulance,463.275,Royal Perth Hospital Wellington Street PERTH
St John Ambulance,413.125,Royal Perth Hospital Wellington Street PERTH
St John Ambulance,412.75,Royal Perth Hospital Wellington Street PERTH
St John Ambulance,463.275,Telstra CMTS WAWA Copperhead Ave PADBURY
St John Ambulance,412.575,Telstra CMTS WAWA Copperhead Ave PADBURY
St John Ambulance,412.75,Telstra CMTS WAWA Copperhead Ave PADBURY
St John Ambulance,463.275,Dumas House 2 Havelock Street WEST PERTH
St John Ambulance,413.15,Dumas House 2 Havelock Street WEST PERTH
St John Ambulance,413.35,Fremantle Hospital Lot 1970 Alma Street FREMANTLE
St John Ambulance,412.75,Fremantle Hospital Lot 1970 Alma Street FREMANTLE
St John Ambulance,463.275,Fremantle Hospital Lot 1970 Alma Street FREMANTLE
St John Ambulance,413.225,Fremantle Hospital Lot 1970 Alma Street FREMANTLE
St John Ambulance,463.275,Lot230 Toodyay Rd REDHILL
St John Ambulance,413.1,Lot230 Toodyay Rd REDHILL
St John Ambulance,412.75,Lot230 Toodyay Rd REDHILL
St John Ambulance,413.375,Lot230 Toodyay Rd REDHILL
St John Ambulance,78.7,Lot230 Toodyay Rd REDHILL
St John Ambulance,414.475,Lot230 Toodyay Rd REDHILL
St John Ambulance,463.275,Exchange QUINNS ROCK
St John Ambulance,413.025,Exchange QUINNS ROCK
St John Ambulance,412.75,Exchange QUINNS ROCK
St John Ambulance,413.175,Exchange QUINNS ROCK
St John Ambulance,463.275,Smiths Mill Hill GIDGEGANNUP
St John Ambulance,412.75,Smiths Mill Hill GIDGEGANNUP
St John Ambulance,413.425,Smiths Mill Hill GIDGEGANNUP
St John Ambulance,412.75,CMTS Site off Scarp Road PINJARRA
St John Ambulance,463.275,CMTS Site off Scarp Road PINJARRA
St John Ambulance,413.425,CMTS Site off Scarp Road PINJARRA
St John Ambulance,413.175,CMTS Site off Scarp Road PINJARRA
St John Ambulance,469.525,WA wide
St John Ambulance,469.575,WA wide
St John Ambulance,458.025,WA wide
St John Ambulance,458.075,WA wide
St John Ambulance,415.45,WA wide
ABC TV,463.85,ABC Studios Adelaide Terrace PERTH
ABC TV,474.275,ABC Studios Adelaide Terrace PERTH
ABC TV,168.6125,ABC Studios Adelaide Terrace PERTH
ABC TV,172.9375,ABC Studios Adelaide Terrace PERTH
ABC TV,153.7625,ABC Studios Adelaide Terrace PERTH
ABC TV,169.125,ABC Studios Adelaide Terrace PERTH
ABC TV,463.85,ABC Studios Adelaide Terrace PERTH
POLICE,467.85,CH. 1
POLICE,467.875,CH. 2 VICTORIA PARK Doss Site Canning Mills Road Canning Mills
POLICE,467.9,CH. 3 Bank West Tower 108 St Georges Terrace PERTH
POLICE,467.925,CH. 4
POLICE,467.95,CH. 5
POLICE,467.975,CH. 6
POLICE,468.0,CH. 7 - ROTTNEST Lighthouse ROTTNEST ISLAND
POLICE,468.025,CH. 8 - ARMADALE Police Site Ashurst Drive LESMURDIE
POLICE,468.05,CH. 9 - KINGS PARK Telstra Microwave Site MT Yokine Osborne Road Dianella
POLICE,468.075,CH. 10 -
POLICE,468.1,CH. 11 MT Solus Jarrahdale
POLICE,468.125,CH. 12 - MUNSTER Wawa Site off Henderson Road East Reservoir RFDS Hut MUNSTER
POLICE,468.15,CH. 13 - CITY BEACH Wawa Water Tank off Kalinda Dr CITY BEACH
POLICE,468.175,CH. 14
POLICE,468.2,CH. 15 Bank West Tower 108 St Georges Terrace PERTH
